iter	Passed	Remaining
0	1	174
1	3	170
2	5	164
3	6	154
4	8	153
5	9	152
6	11	154
7	28	331
8	31	320
9	32	296
10	34	277
11	35	260
12	36	246
13	38	234
14	39	225
15	41	216
16	42	209
17	44	201
18	45	195
19	47	189
20	48	183
21	50	177
22	51	172
23	52	167
24	54	163
25	56	159
26	57	156
27	59	153
28	60	149
29	62	146
30	64	142
31	65	139
32	67	136
33	69	134
34	72	134
35	74	132
36	76	130
37	78	128
38	80	126
39	84	126
40	87	125
41	88	122
42	90	120
43	93	118
44	95	116
45	97	115
46	100	113
47	102	110
48	104	108
49	106	106
50	108	104
51	110	102
52	112	99
53	114	97
54	116	95
55	118	93
56	120	90
57	122	88
58	124	86
59	127	84
60	129	82
61	131	80
62	133	78
63	135	76
64	138	74
65	140	72
66	142	70
67	144	68
68	147	66
69	149	63
70	151	61
71	153	59
72	155	57
73	158	55
74	160	53
75	163	51
76	165	49
77	167	47
78	170	45
79	172	43
80	175	41
81	177	38
82	179	36
83	181	34
84	183	32
85	186	30
86	190	28
87	192	26
88	196	24
89	200	22
90	220	21
91	223	19
92	227	17
93	230	14
94	238	12
95	241	10
96	244	7
97	260	5
98	263	2
99	266	0
